出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/09/07","114/7","3712","永崴投控","電腦及週邊設備業","1866514","5165531","1612409","-63.86598008994622","15.759338976649225","17355157","11374648","52.57753031126765","主要係因子公司承接工程案件依進度認列收入"
"114/09/07","114/7","3714","富采","光電業","1911669","1793544","2292505","6.586122225047169","-16.612221129288702","13283763","14481725","-8.272232762326311","-"
"114/09/07","114/7","3715","定穎投控","電子零組件業","1492035","1573915","1540270","-5.202313975024064","-3.1315938114746116","10673497","9940189","7.377203793609961","-"
"114/09/07","114/7","3716","中化控股","生技醫療業","646986","701585","0","-7.782235937199341","","5011944","0","","中化控股於113/09/02公司始設立"
"114/09/07","114/7","4104","佳醫","生技醫療業","713083","769868","648950","-7.375939771493295","9.882579551583326","5027368","4850635","3.643502345569188","-"
"114/09/07","114/7","4106","雃博","生技醫療業","218114","209682","193076","4.021327534075409","12.967950444384595","1378875","1424189","-3.181740625717514","-"
"114/09/07","114/7","4108","懷特","生技醫療業","12398","11178","13658","10.914295938450527","-9.225362424952408","73969","90371","-18.149627646036894","-"
"114/09/07","114/7","4119","旭富","生技醫療業","81832","90520","136512","-9.597878921785242","-40.05508673230192","813636","839107","-3.0354889185765344","-"
"114/09/07","114/7","4133","亞諾法","生技醫療業","27998","31346","29883","-10.680788617367448","-6.307934277013687","210082","206664","1.653892308287849","-"
"114/09/07","114/7","4137","麗豐-KY","生技醫療業","309991","284968","319042","8.780985935262906","-2.8369305608665942","2060572","2335486","-11.771168827387534","-"
"114/09/07","114/7","4142","國光生","生技醫療業","239702","100193","361114","139.24026628606788","-33.62151564325947","420419","484792","-13.27847819270945","-"
"114/09/07","114/7","4148","全宇生技-KY","生技醫療業","253305","263626","217051","-3.9150159695932873","16.702986855623795","1526167","1216752","25.429586308467133","-"
"114/09/07","114/7","4155","訊映","生技醫療業","114216","140448","145098","-18.677375256322623","-21.28354629285035","952000","936139","1.6942996713094958","-"
"114/09/07","114/7","4164","承業醫","生技醫療業","287368","533411","222614","-46.12634535095827","29.088017824575275","2377073","1838687","29.281003237636423","-"
"114/09/07","114/7","4190","佐登-KY","生技醫療業","170322","177904","192141","-4.261849087148125","-11.355723140818462","1295197","1331136","-2.6998743929996634","-"
"114/09/07","114/7","4306","炎洲","塑膠工業","1107166","1072687","1583736","3.2142647389219783","-30.091505149848206","7213060","9818222","-26.533948814765036","-"
"114/09/07","114/7","4414","如興","紡織纖維","1250369","1074345","1671464","16.3843085787154","-25.193183939348977","7914908","8080611","-2.05062463717162","-"
"114/09/07","114/7","4426","利勤","紡織纖維","67254","64352","75303","4.50957235206365","-10.688817178598462","503706","578690","-12.95754203459538","-"
"114/09/07","114/7","4438","廣越","紡織纖維","1959709","1890248","2222339","3.674703001934138","-11.817728978342188","9512327","8720144","9.084517411639073","-"
"114/09/07","114/7","4439","冠星-KY","紡織纖維","613393","671225","543121","-8.615888859920295","12.938553287388999","4329557","3466214","24.907377328693496","-"
"114/09/07","114/7","4440","宜新實業","紡織纖維","95692","75785","115958","26.26773108134855","-17.47701754083375","559601","636568","-12.090931369468777","-"
"114/09/07","114/7","4526","東台","電機機械","423269","381604","435336","10.918386599721178","-2.771881948655751","3233394","3128166","3.363887977811919","-"
"114/09/07","114/7","4532","瑞智","電機機械","1463245","1533076","1834834","-4.554960093302615","-20.25191379710644","13597212","12931626","5.14696295732648","-"
"114/09/07","114/7","4536","拓凱","運動休閒","849735","809936","866103","4.913845044546729","-1.8898445104104247","5765704","5087500","13.330791154791156","-"
"114/09/07","114/7","4540","全球傳動","電機機械","225610","254411","151009","-11.320658304868893","49.401691289923114","1340002","1319943","1.5196868349618127","-"
"114/09/07","114/7","4545","銘鈺","電子零組件業","218397","213484","224237","2.3013434262052423","-2.6043873223419864","1411950","1399368","0.89912017425009","-"
"114/09/07","114/7","4551","智伸科","汽車工業","669977","573897","760275","16.741680127270225","-11.87701818420966","4505477","4252002","5.961309519609822","-"
"114/09/07","114/7","4552","力達-KY","電機機械","295522","301038","322067","-1.832326815883709","-8.24207385419804","2038951","2023561","0.7605404531911812","-"
"114/09/07","114/7","4555","氣立","電機機械","136714","136100","130128","0.45113886847905954","5.061170539776221","934612","847763","10.244490500293125","-"
"114/09/07","114/7","4557","永新-KY","汽車工業","315198","301446","334572","4.56201110646683","-5.790681826333345","2470091","2016835","22.473628234337465","-"
"114/09/07","114/7","4560","強信-KY","電機機械","130508","125585","132406","3.9200541465939405","-1.433469782336148","984654","878640","12.065692433761267","-"
"114/09/07","114/7","4562","穎漢","電機機械","66296","61352","79105","8.058417003520667","-16.192402503002338","450118","415311","8.380948253236731","-"
"114/09/07","114/7","4564","元翎","電機機械","67889","96732","120014","-29.81743373444155","-43.432432882830334","683819","597248","14.494983658379768","-"
"114/09/07","114/7","4566","時碩工業","電機機械","420535","367067","432954","14.566278090920731","-2.8684340599694194","2911119","2747626","5.950336763445971","-"
"114/09/07","114/7","4569","六方科-KY","汽車工業","170328","146903","123869","15.945896271689483","37.50655934898966","1081553","807049","34.013300307664096","-"
"114/09/07","114/7","4571","鈞興-KY","電機機械","240363","220169","237968","9.172045110801248","1.0064378403819","1768107","1751493","0.9485621695319365","-"
"114/09/07","114/7","4572","駐龍","電機機械","56830","54222","73312","4.809855778097451","-22.481994762112613","403640","517887","-22.060217769513425","-"
"114/09/07","114/7","4576","大銀微系統","電機機械","229160","211644","174175","8.276161856702766","31.568824458159895","1498989","1210636","23.8183070716549","-"
"114/09/07","114/7","4581","光隆精密-KY","汽車工業","92453","90086","85553","2.6274892880136758","8.065175972788797","654504","645749","1.3557899431512863","-"
"114/09/07","114/7","4583","台灣精銳","電機機械","257463","211029","269326","22.003610878125755","-4.404699137847813","1801195","1737919","3.6409061642113354","-"
"114/09/07","114/7","4588","玖鼎電力","其他電子業","78306","57521","96820","36.1346290919838","-19.12208221441851","437108","590529","-25.980265152092446","-"
"114/09/07","114/7","4720","德淵","化學工業","293810","269770","326203","8.911294806687177","-9.930319463646871","2075855","2089225","-0.6399502207756465","-"
"114/09/07","114/7","4722","國精化","化學工業","347993","285664","343264","21.81899014226504","1.3776568472079798","2237856","2359171","-5.1422724338337495","-"
"114/09/07","114/7","4736","泰博","生技醫療業","427562","352839","414263","21.177647595645606","3.2102794601497116","2525406","2656013","-4.917408160276324","-"
"114/09/07","114/7","4737","華廣","生技醫療業","142322","153628","159235","-7.35933553779259","-10.62140860991616","1095448","1102493","-0.6390063247567105","-"
"114/09/07","114/7","4739","康普","化學工業","426192","446131","370954","-4.469315066650827","14.890795085104891","2930501","2565005","14.249328948676514","-"
"114/09/07","114/7","4746","台耀","生技醫療業","376439","420647","327566","-10.509524613274314","14.920046647087915","2762988","2676180","3.24372800035872","-"
"114/09/07","114/7","4755","三福化","化學工業","361153","401634","429085","-10.0790769705752","-15.831828192549262","2771933","2763108","0.31938671959257475","-"
"114/09/07","114/7","4763","材料*-KY","化學工業","801747","1127103","1403160","-28.866572087910335","-42.86132728983152","8815481","8211979","7.3490446091009245","-"
"114/09/07","114/7","4764","雙鍵","化學工業","204231","232438","239816","-12.135279085175402","-14.83845948560563","1593945","1448751","10.022012064184942","-"
"114/09/07","114/7","4766","南寶","化學工業","1984741","1855541","2090507","6.962928870879167","-5.059346847439401","13344636","12863598","3.7395291737195144","-"
"114/09/07","114/7","4770","上品","化學工業","356449","505339","614281","-29.46338992240852","-41.97297328095774","2634626","3682117","-28.448063980585083","-"
"114/09/07","114/7","4771","望隼","生技醫療業","281664","300854","233118","-6.378509177208879","20.824646745425063","1964560","1730921","13.497958601230213","-"
"114/09/07","114/7","4807","日成-KY","貿易百貨","175177","199101","181679","-12.016011973822332","-3.5788396017151127","1161798","826759","40.52438497796819","-"
"114/09/07","114/7","4904","遠傳","通信網路業","8054845","8302166","7894640","-2.978993674662733","2.0292882259355713","59322551","58610754","1.2144477786448542","-"
"114/09/07","114/7","4906","正文","通信網路業","1172025","1259231","2419557","-6.925337765668094","-51.560347617353095","10525215","15790278","-33.34370047189796","台幣升值、部分客戶庫存去化調整、轉型陣痛設備商訂單遞減而直接出貨運營商尚在初期階段…等因素造成營收下滑。"
"114/09/07","114/7","4912","聯德控股-KY","電子零組件業","439118","422148","552352","4.019917185442073","-20.500333120908405","3327793","3273737","1.6512016695293483","-"
"114/09/07","114/7","4915","致伸","電子零組件業","5356966","4929632","5019074","8.668679528208191","6.732158163039636","34716862","34035860","2.000836764518364","-"
"114/09/07","114/7","4916","事欣科","電腦及週邊設備業","227370","277822","287387","-18.159828955230328","-20.883686457633782","1865190","2168779","-13.998152877725209","-"
"114/09/07","114/7","4919","新唐","半導體業","2377791","2680181","2628884","-11.282446969066642","-9.551315310983671","18557883","19325055","-3.969830874996216","-"
"114/09/07","114/7","4927","泰鼎-KY","電子零組件業","1007178","931996","1337756","8.066772818767463","-24.711382344762423","7030170","7290115","-3.565718784957439","7月份自結數"
"114/09/07","114/7","4930","燦星網","電器電纜","518071","449382","785484","15.285213916000195","-34.04435991057743","3502100","4427165","-20.895200427361527","-"
"114/09/07","114/7","4934","太極","光電業","6322","6954","45724","-9.0882945067587","-86.17356311783746","41856","314473","-86.69011330066492","本月營收較去年同月減少，主係市場需求減緩所致。"
"114/09/07","114/7","4935","茂林-KY","光電業","475365","462066","675358","2.878160262819597","-29.61288679485547","3306639","3890622","-15.010016393265653","-"
"114/09/07","114/7","4938","和碩","電腦及週邊設備業","77103455","78771196","96528903","-2.1171964940077843","-20.12397053761193","616872721","600643350","2.7019979493654596","-"
"114/09/07","114/7","4942","嘉彰","光電業","499289","513886","497053","-2.8405132655880876","0.4498514242947935","3400281","3323934","2.296886761289484","-"
"114/09/07","114/7","4943","康控-KY","電子零組件業","126064","138236","122327","-8.805231632859748","3.054926549330892","895173","854610","4.746375539719872","-"
"114/09/07","114/7","4949","有成精密","光電業","183479","197847","178559","-7.262177339054927","2.7553917752675585","1428287","1417675","0.748549561782496","-"
